customer_id,customer_name,industry,region,segment,signup_date
102,"Patterson, Smith and Jones",Government,EMEA,Mid-Market,2024-06-08
103,"Mckee, Gardner and Davenport",Sports Broadcasting,North America,Enterprise,2025-11-24
104,"Tran, Jordan and Williams",Sports Broadcasting,EMEA,Mid-Market,2025-01-15
105,Nolan-Flynn,Streaming/OTT,North America,Mid-Market,2024-04-29
106,Nolan and Sons,News,North America,Mid-Market,2024-11-28
107,"Wright, Garcia and Deleon",Sports Broadcasting,LATAM,Mid-Market,2025-09-16
108,Dickson-Brady,Public Safety,EMEA,Enterprise,2024-04-23
109,Hancock and Sons,News,APAC,Mid-Market,2024-08-10
110,Johnson-Doyle,News,EMEA,Mid-Market,2026-03-26
111,Patton-Jenkins,News,APAC,Mid-Market,2023-11-11
112,"Shields, Cochran and Adams",News,EMEA,SMB,2024-01-25
113,"Rodriguez, Brennan and Garrison",Streaming/OTT,EMEA,Mid-Market,2024-09-29
114,Gonzalez Group,Pro A/V,EMEA,Enterprise,2024-01-27
115,Torres-Pope,Government,North America,Enterprise,2024-04-02
116,Walker Ltd,Pro A/V,APAC,Mid-Market,2024-11-02
117,Ross LLC,Pro A/V,North America,Enterprise,2024-08-04
118,Rasmussen LLC,News,North America,Mid-Market,2024-12-26
119,May-Ross,Pro A/V,EMEA,SMB,2023-10-23
120,"Rivera, Johnson and Wiley",Sports Broadcasting,North America,Mid-Market,2026-01-21
